0.722	1.54	320	24	1.1	0.9	0.46	338	25
0.274	2.09	276	35	1.16	0.9	1.34	279	35
0.337	3.25	290	24	0.93	0.7	0.28	309	26
0.365	3.39	222	25	1.03	0.7	0.69	228	26
0.419	2.95	281	22	1.36	0.7	1.13	283	22
0.611	2.36	183	21	1.4	0.9	2	182	21
0.552	3.35	188	22	0.74	0.9	0.46	199	23
0.783	2.77	228	29	1.14	1	1.13	233	30
0.456	1.59	342	20	2.55	1	2.03	342	20
0.526	3.01	284	21	1.51	1	0.83	294	22
0.716	1.47	253	19	0.94	1	0.8	262	20
0.3218	1.42	214	23	0.93	1	0.85	221	24
0.38	0.99	246	23	0.96	1	1.11	252	24
0.483	3.12	228	19	1.4	1	1.62	230	19
0.4	2.15	213	21	1.95	1	0.99	219	22
0.476	2.53	317	30	1.66	0.9	0.66	330	31
0.338	3.45	165	20	1.07	1	0.27	179	22
0.289	1.02	189	20	0.52	0.7	1.01	191	20
0.232	1.07	127	15	2.16	1	0.8	132	16
0.325	2.35	222	23	1.4	1	1.12	227	24
0.436	1.36	221	22	1.44	1	1.56	223	22
