0.09	69	12
0.17	83	8
0.27	77	14
0.4	95	17
0.9	117	23
1.3	168	17
1.43	177	18
1.53	140	14
1.75	202	40
0.48	97	62
0.88	90	40
0.35	82.1	4.9
0.179	75	4
0.199	75	5
0.352	83	14
0.593	104	13
0.68	92	8
0.781	105	12
0.875	125	17
1.037	154	20
0.07	69	19.6
0.12	68.6	26.2
0.2	72.9	29.6
0.28	88.8	36.6
1.363	160	33.6
1.965	186.5	50.4
0.3802	83	13.5
0.4004	77	10.2
0.4247	87.1	11.2
0.4497	92.8	12.9
0.4783	80.9	9
