"z" "snh" "snl" "onl" "onh" "dnl" "dnh" "knl" "knh"
"61" 0.89 10.4793281 21.9698858 76.625103 45.255141 11.7562597 5.9515904 1.76919256 1.68779064
"62" 0.868 9.1723101 20.071697 72.0473507 47.6826004 13.2156929 6.04550801 1.16962155 1.776880563
"63" 0.846 9.8892553 21.1477064 72.2197425 46.3408557 10.5309394 5.9894741 1.39857495 1.4202341
"64" 0.825 9.54592543 19.992234 70.5248464 42.16992929 10.9426465 4.8833068 1.49833459 1.099444688
"65" 0.805 8.7485202 19.1657189 70.6260268 45.57072615 10.2329443 5.51277302 1.45893352 1.284667947
"66" 0.784 8.316486 17.7674253 68.4592 44.082938 11.2571613 5.11657124 0.75716536 1.041349982
"67" 0.765 8.0125133 18.760474 64.435336 42.713005 10.5450539 5.79400521 1.07085813 0.9651800167
"68" 0.746 8.0204086 17.955326 66.432777 45.3003446 9.8115603 5.141828 0.774134236 0.892385282
"69" 0.727 8.0782901 16.961283 64.755385 39.8299405 10.46316417 5.3247541 0.859118128 0.900582707
"70" 0.709 7.1722301 15.8796844 63.1098136 41.8701948 9.89204598 4.206420202 0.895550992 1.0094672698
"71" 0.691 8.2369982 15.0618543 60.0636435 41.5044302 9.63470166 4.08248061 0.781359478 0.9968211709
"72" 0.673 7.070974736 16.1677633 59.5461743 37.4831706 9.15244957 4.146642629 1.142852395 0.8065747319
"73" 0.656 7.30890726 14.0961159 61.9369234 39.63912232 8.9570541 4.1031109 0.995216093 0.76441017
"74" 0.639 7.5362763 14.9893892 54.8871612 39.0926819 8.52307623 4.3744799 1.06895656 0.80871519
"75" 0.623 6.3907406 13.4319583 56.4632595 37.9521463 9.1137048 4.0663167 0.601319338 0.76933907
"76" 0.606 7.2582845 13.3538361 57.2482079 36.81769596 8.6612036 4.06836217 0.944851401 0.64667026
"77" 0.591 6.20007314 12.9407355 54.5561736 35.37465096 8.8070296 3.807205912 0.639186644 0.53123247
"78" 0.575 6.450682 12.8933405 53.1719271 37.23880909 8.2643294 3.90246038 0.723938788 0.61368374
"79" 0.56 6.4835993 11.6900261 50.8944385 36.5246446 7.7252151 4.02814582 0.935391671 0.41580056
"80" 0.545 6.0993554 10.6276111 49.5218889 33.6847032 7.3816912 4.14979462 0.976810707 0.4061236
"81" 0.53 5.9866946 11.0322679 49.8261711 35.0057852 8.6720108 3.42518678 0.99113848 0.31851848
"82" 0.516 5.9898157 9.97971581 47.1200361 34.095146 7.6045623 3.5885075 0.862261041 0.40059695
"83" 0.501 5.5557651 9.8662279 44.44448007 31.4079465 8.1633512 2.6493599 0.8683560584 0.29598615
"84" 0.487 5.85469098 10.2124802 47.5898189 32.61278767 7.2765981 2.78206709 0.9784661893 0.32828979
"85" 0.474 5.73655605 8.5184111 43.6565553 29.75405547 6.71090336 2.7645641 0.96218665 0.31013705
"86" 0.46 5.6078639 9.20870253 43.0988556 29.83165832 6.4453179 2.50600995 0.97140022545 0.45161051
