"z" "snh" "snl" "onl" "onh" "dnl" "dnh" "knl" "knh"
"66" 0.784 148.266905 47.261982 437.915042 452.319186 57.644887 165.030105 59.06532 145.8707
"67" 0.765 149.314429 47.011385 427.211713 448.527673 57.131101 158.820929 56.797155 147.239209
"68" 0.746 146.827942 46.208861 411.07466 436.870896 56.593665 157.504872 56.261293 142.028873
"69" 0.727 143.593211 45.854244 401.649631 427.840502 55.102765 154.433726 54.075277 137.207626
"70" 0.709 141.82381 46.249802 398.565537 416.666771 56.507943 157.550059 53.652738 135.455994
"71" 0.691 137.365287 44.973362 385.329844 410.968223 56.891062 153.154636 53.524671 129.609984
"72" 0.673 137.344466 44.201262 369.108846 399.805301 54.551813 149.489629 51.968287 128.823711
"73" 0.656 131.434229 45.779028 357.723713 388.918176 56.885532 149.816869 52.198361 122.023787
"74" 0.639 132.940393 46.045629 358.272546 384.888327 53.02428 144.161557 49.859113 121.255783
"75" 0.623 129.749536 42.858266 341.062535 373.085494 53.540344 144.632441 47.84698 118.12833
"76" 0.606 127.169548 42.942684 333.91512 369.868905 54.378522 138.225694 49.943383 116.827504
"77" 0.591 125.17532 45.077363 310.897648 362.321014 57.233893 138.069819 48.670579 114.294139
"78" 0.575 121.082529 51.29803 290.59651 352.723258 59.973847 138.448048 55.020752 114.856523
"79" 0.56 122.597817 52.779609 282.361346 344.215361 62.878853 135.169882 57.108401 111.359284
"80" 0.545 118.268411 54.967183 277.048336 343.233996 68.163314 132.771488 60.205557 111.750318
"81" 0.53 116.716421 59.653007 276.870261 333.503428 69.052479 131.674162 59.82341 108.525452
"82" 0.516 116.169828 59.638124 266.647949 325.175399 71.736874 129.67062 64.10778 105.935467
"83" 0.501 115.125345 61.807988 265.08756 328.748642 74.227915 125.471231 63.858981 103.429425
"84" 0.487 111.194429 63.000166 257.381063 311.662782 76.635273 127.227792 65.355245 101.460464
"85" 0.474 110.520536 63.756873 255.987832 305.780096 74.06184 123.472401 65.309971 98.872743
"86" 0.46 109.036855 66.212958 250.478818 299.579416 75.820922 120.777319 66.603913 97.297779
"87" 0.447 107.740303 65.012493 251.365566 298.522774 77.643094 121.332183 67.526285 95.328902
"88" 0.434 103.921916 65.788215 245.379821 285.944023 75.405698 116.824469 66.724253 95.227188
"89" 0.421 105.576204 70.027964 244.224973 282.553417 76.93563 115.885285 66.52536 91.254058
"90" 0.408 100.102643 67.899382 241.525845 278.077871 76.898999 119.223853 68.54529 92.317503
"91" 0.396 98.470202 66.0364 232.269643 270.542299 76.977329 112.61427 67.214257 91.322813
"92" 0.384 96.556488 68.114313 231.412575 267.446797 75.987657 113.192333 67.67014 90.32593
"93" 0.372 95.507684 66.387457 227.235739 261.348369 77.215243 106.937706 66.305249 87.610428
"94" 0.36 90.124629 68.818792 221.479867 257.356798 77.404479 106.880137 67.243241 85.448331
"95" 0.348 91.450435 69.638135 221.795544 249.666032 75.24832 104.502912 68.270698 80.852901
"96" 0.337 88.666941 65.950554 219.362408 249.685285 76.351372 102.313376 66.678917 82.595122
"97" 0.326 86.174809 67.017745 215.439888 244.366769 75.908533 97.380402 66.649826 78.959933
"98" 0.314 84.393135 67.484663 210.875696 243.497625 75.91835 99.235204 66.594179 77.202727
"99" 0.303 83.289925 65.639853 206.769847 235.559754 75.487713 93.31639 63.799161 74.044282
"100" 0.293 82.434122 65.931862 204.417756 235.181385 75.185413 97.287057 63.756877 74.828988
"101" 0.282 80.978114 67.046914 201.4826 232.298957 74.620067 88.804106 63.795909 74.600889
"102" 0.271 81.273632 66.148359 198.505989 224.934513 72.165306 91.777127 65.452978 73.46719
"103" 0.261 76.26704 66.197258 194.081221 223.419315 74.608666 88.79146 62.030945 73.006873
"104" 0.251 79.481226 64.638603 192.718009 224.435717 72.67418 88.074213 63.870468 72.078056
"105" 0.241 76.107439 62.610421 188.123 216.1539 70.645899 86.597985 62.197455 70.514162
"106" 0.231 75.786714 67.106098 186.333302 213.936071 70.400719 83.631966 60.12974 70.556374
"107" 0.221 73.520634 63.683525 186.021531 209.916419 70.991504 86.548982 62.215754 66.96973
"108" 0.211 73.035797 63.371361 182.106993 211.882541 70.611872 81.176604 61.089378 68.641421
"109" 0.202 73.272383 62.873141 179.83715 203.515719 71.13603 82.297722 58.803432 66.472471
"110" 0.192 69.810657 63.48348 177.719084 200.973252 71.39974 79.241805 59.910557 65.804009
"111" 0.183 69.867157 62.343601 174.638542 198.588123 71.742664 77.453399 57.493957 65.940646
"112" 0.174 70.469546 60.578752 173.693515 196.568112 70.864925 76.847766 59.308579 64.16665
"113" 0.165 67.377915 61.38593 170.37375 192.593545 71.076045 77.901964 57.33782 63.167978
"114" 0.156 67.966211 61.084292 170.098365 190.205568 70.077121 77.238285 55.966218 65.23018
"115" 0.147 66.163217 60.045163 165.526884 188.513677 71.633909 75.079227 55.050955 63.971976
"116" 0.138 65.789608 60.157378 165.412195 186.359733 69.853635 74.703447 57.897807 61.422673
"117" 0.129 66.519891 60.809402 163.440052 184.522551 69.852035 72.000102 54.080065 61.578502
"118" 0.121 67.032256 60.38944 163.220063 180.277998 69.141985 74.170011 55.738508 60.944445
"119" 0.112 62.595921 60.886427 161.146062 180.474807 68.092983 70.034214 53.89063 60.198854
"120" 0.104 62.975779 58.912042 162.251685 177.825744 66.01729 70.610607 55.985567 60.988381
"121" 0.096 63.044359 58.48682 157.977129 177.35601 66.370125 69.510112 54.167222 58.3847
"122" 0.088 63.697183 60.145442 158.114824 173.920174 67.903197 67.912264 53.230698 59.454663
"123" 0.08 64.043452 59.318493 154.67688 173.134188 66.406299 70.455832 53.937139 58.347416
"124" 0.072 61.958246 56.625721 152.229286 171.30441 65.215525 66.91197 52.610242 59.53925
"125" 0.064 63.580704 57.422466 151.846395 170.129985 66.158544 69.917549 52.876394 57.99158
"126" 0.056 63.023058 58.154467 148.340275 171.597972 62.480686 67.226016 51.671401 58.108359
"127" 0.048 63.030556 57.212698 143.871093 167.834653 63.741004 66.739557 52.867697 56.470858
"128" 0.041 62.168 55.775897 144.500091 167.440379 62.070675 66.703834 51.527276 57.356135
"129" 0.033 61.270671 55.059294 143.910056 166.096071 63.19281 66.303274 53.819226 58.184902
"130" 0.026 60.528799 54.35644 139.741602 163.266015 60.730785 66.100645 52.5786 57.2421473
"131" 0.018 61.921654 54.989244 137.367924 161.086956 59.582788 67.645307 50.857375 58.922535
"132" 0.011 60.024791 53.219956 137.026091 163.823687 59.947248 66.228673 50.464616 56.322195
"133" 0.004 60.614058 51.964847 136.917862 161.706702 59.746659 67.476901 52.068726 56.867047
