0.02	0.952	0.08	1.072	0.1		0.000793913
0.191	1.51	0.128	2.9	0.1		0.207838924
0.194	1.531	0.077	1.355	-0.3		0.107560532
0.227	2.427	0.101	2.26	0.1		0.230836579
0.229	0.938	0.497	0.6	-0.3		0.067732505
0.239	1.679	0.114	0.47	0.1		0.053288446
0.2784	1.228	0.103	1.03	0.1		0.159861115
0.3021	1.992	0.093	3	0		0.56501559
0.322	1.037	0.143	1.07	-0.1		0.236586854
0.323	1.681	0.07	1.02	0		0.220719673
0.333	1.273	0.177	0.9	0.1		0.20160123
0.334	2.353	0.173	1.6	-0.2		0.393568793
0.348	0.95	0.094	0.837	-0.2		0.22461406
0.427	0.648	0.144	0.68	-0.3		0.292286204
0.436	1.836	0.168	0.7	-0.2		0.303617408
0.45	2.425	0.125	1.8	-0.3		0.866657333
0.462	2.743	0.027	2.49	-0.1		1.176655681
0.484	2.086	0.135	1.2	-0.3		0.676936281
0.501	1.694	0.051	1.69	0.1		0.873204752
0.51	1.963	0.042	0.797	0.1		0.426852423
0.525	1.328	0.049	0.738	0.1		0.419215649
0.5305	1.335	0.333	0.7	-0.3		0.481508549
0.5362	1.454	0.052	11.8	0.1		6.994175409
0.539	1.049	0.077	1.94	0.1		1.162526333
0.557	2.098	0.056	0.714	-0.3		0.545711662
0.558	1.974	0.048	3.4	-0.3		2.608736831
0.565	1.68	0.15	0.8	-0.3		0.630958355
0.574	2.399	0.077	4	0.1		2.722235474
0.591	1.933	0.097	2.1	-0.2		1.741972636
0.5928	1.525	0.041	7.6	0		5.781764415
0.61	0.69	0.414	1	-0.1		0.846108925
0.63	1.589	0.124	1	0		0.861810061
0.632	1.762	0.15	1.1	-0.1		1.002335201
0.65	0.797	0.118	1.12	0.1		0.978988473
0.652	1.674	0.03	0.785	-0.2		0.802362702
0.657	0.93	0.155	0.45	-0.1		0.444545554
0.665	1.901	0.177	0.8	0.1		0.732019184
0.67	2.218	0.108	2.7	-0.1		2.777676537
0.6715	1.292	0.208	1.1	-0.1		1.137459169
0.673	1.972	0.11	1.1	-0.3		1.266599088
0.677	1.904	0.075	1.9	-0.2		2.103770694
0.68	1.244	0.129	2.6	-0.1		2.758821292
0.71	1.454	0.245	1.3	0		1.429967234
0.72	1.415	0.074	1.8	-0.1		2.150640948
0.74	1.139	0.076	1.06	-0.1		1.340640945
0.752	1.518	0.058	1.63	-0.2		2.25430711
0.794	1.447	0.22	0.6	0.1		0.780787295
0.819	0.897	0.304	0.7	-0.2		1.158448925
0.846	1.953	0.144	1.7	-0.3		3.202505043
0.847	1.758	0.094	0.6	-0.1		1.002362927
0.857	1.73	0.183	1.2	-0.3		2.323770564
0.858	2.094	0.049	2.439	-0.2		4.450677529
0.859	1.433	0.057	10.5	-0.1		18.05333547
0.871	1.635	0.249	0.8	-0.2		1.506872431
0.888	1.144	0.059	2.87	0		4.956237659
0.894	1.149	0.041	3.777	0.1		6.202579419
0.947	1.747	0.087	0.64	-0.1		1.34279161
0.96	1.661	0.121	1.5	-0.2		3.460774664
0.965	1.81	0.063	1.308	0.1		2.49060355
0.978	0.568	0.426	0.8	0.1		1.563393039
0.999	1.031	0.051	3.679	-0.2		9.219209449
1.016	1.517	0.033	0.62	-0.1		1.499880068
1.018	1.794	0.081	0.76	-0.2		1.980478147
1.02	1.544	0.197	1	0		2.27297901
1.025	1.552	0.122	1.2	0		2.753866015
1.034	1.797	0.163	1	-0.3		2.888809049
1.066	1.155	0.453	0.6	0.1		1.383084025
1.07	0.76	0.07	0.525	0		1.310768286
1.08	1.529	0.16	1.3	-0.2		3.82754107
1.088	1.399	0.258	0.9	-0.2		2.689873704
1.0987	0.88	0.581	0.6	-0.2		1.830002475
1.139	1.638	0.086	0.567	-0.3		2.008825071
1.141	1.727	0.053	0.514	-0.1		1.569689571
1.153	1.758	0.054	1.2	0.1		3.21030547
1.159	1.277	0.069	0.517	-0.2		1.759104937
1.184	1.485	0.048	0.57	-0.3		2.19081975
1.185	1.905	0.047	3.08	-0.3		11.85756823
1.187	1.728	0.029	6.069	-0.1		20.050375
1.187	1.611	0.089	0.79	0		2.413501511
1.202	1.099	0.081	0.796	-0.2		2.91759277
1.212	1.254	0.088	0.64	0.1		1.880326136
1.216	2.622	0.085	1.9	-0.2		7.130636047
1.22	2.032	0.147	1.4	-0.1		4.883602499
1.244	1.38	0.064	0.588	-0.3		2.50609747
1.25	2.44	0.151	1	-0.1		3.660753756
1.252	2.109	0.111	1.7	0		5.755830409
1.254	1.544	0.19	1.2	-0.3		5.20032326
1.275	1.046	0.381	0.8	-0.3		3.589245669
1.278	1.883	0.146	0.7	-0.1		2.676854961
1.285	0.979	0.111	2.2	0.1		7.20728997
1.29	1.583	0.107	0.87	-0.3		3.999324796
1.292	0.517	0.77	0.8	-0.3		3.689097339
1.296	1.2	0.187	1.3	0.1		4.327100885
1.299	2.07	0.047	2.48	0		9.009694479
1.302	1.387	0.064	0.89	0		3.247503486
1.319	1.682	0.064	0.803	-0.1		3.266811513
1.323	0.528	0.135	0.746	-0.3		3.613614232
1.326	0.438	0.863	0.5	0.1		1.736368409
1.339	1.608	0.117	0.62	-0.2		2.828243932
1.356	1.46	0.058	1.364	-0.2		6.383340121
1.4	1.168	0.096	0.722	-0.1		3.300014458
1.404	1.859	0.048	5.2	-0.1		23.90257143
1.407	0.758	0.14	0.59	-0.1		2.722999566
1.41	0.596	0.171	0.79	-0.1		3.661488307
1.417	0.424	0.114	0.958	-0.3		5.348426727
1.42	1.481	0.306	0.7	-0.3		3.925392218
1.435	1.172	0.074	1.19	-0.3		6.818717325
1.446	1.81	0.168	0.725	-0.3		4.220074855
1.455	1.718	0.073	0.682	-0.2		3.675184302
1.462	1.33	0.135	2.2	-0.1		10.93927262
1.472	1.484	0.223	1	-0.3		6.037668054
1.476	1.327	0.19	1.5	-0.3		9.107427109
1.479	1.784	0.059	0.895	0.1		3.795223412
1.489	1.292	0.082	1.05	-0.3		6.490315753
1.489	2.12	0.053	3.152	-0.1		16.23520423
1.49	1.243	0.059	0.6	0		2.824672988
1.492	0.87	0.429	0.5	-0.2		2.832635454
1.51	1.96	0.031	3.231	0.1		14.22439479
1.5586	2.446	0.216	0.7	0.1		3.26289342
1.5595	1.038	0.109	1.3	-0.1		7.320118125
1.563	0.796	0.168	0.58	0.1		2.717328543
1.57	1.497	0.1	0.65	-0.3		4.47763752
1.598	1.743	0.081	1.06	0.1		5.167270602
1.6077	1.788	0.034	0.347	-0.3		2.508758962
1.62	0.708	0.337	1.9	-0.3		13.95065731
1.6301	1.788	0.051	0.579	-0.2		3.908267768
1.633	0.659	0.203	0.33	0		1.841973132
1.646	1.431	0.093	0.629	0.1		3.232262115
1.66	1.245	0.214	1.1	0.1		5.738022992
1.72	1.005	0.108	0.94	0		5.771459311
1.74	1.464	0.124	1.2	0		7.524948788
1.751	1.602	0.205	0.9	-0.3		7.734010038
1.763	1.629	0.139	0.73	-0.3		6.359601415
1.774	1.25	0.191	0.33	0		2.143416964
1.776	0.66	0.15	1.054	-0.2		8.414587359
1.81	1.136	0.047	0.734	-0.2		6.080016324
1.821	0.518	0.082	0.567	-0.3		5.271724277
1.837	0.85	0.495	1.1	0.1		6.857813685
1.85	1.635	0.307	0.9	-0.3		8.636143009
1.873	1.13	0.286	1.1	0.1		7.093601181
1.89	1.537	0.059	1.17	0.1		7.664312359
1.9	1.396	0.194	0.7	-0.2		6.368890939
1.932	1.965	0.028	6.5	0.1		44.22796475
1.939	1.526	0.163	0.6	-0.2		5.67666417
1.94	0.835	0.217	1.1	-0.2		10.41828968
1.975	1.207	0.094	0.712	-0.1		6.258385134
2.025	1.7	0.279	0.7	0.1		5.164275143
2.048	1.901	0.148	0.8	-0.1		7.518837034
2.055	1.595	0.057	0.809	-0.3		9.566270006
2.068	2.353	0.11	1.6	-0.2		17.12638598
2.073	1.422	0.368	0.6	-0.3		7.217782969
2.086	1.697	0.257	1.1	-0.1		10.69399133
2.09	1.916	0.132	0.9	0		7.843342718
2.109	1.466	0.167	1.4	0		12.39815724
2.118	0.564	0.664	0.5	-0.3		6.275507014
2.118	1.861	0.079	1.74	-0.2		19.49128412
2.13	2.264	0.048	0.834	-0.1		8.424345371
2.136	1.449	0.077	0.57	-0.3		7.273878784
2.145	1.495	0.134	1.5	-0.2		17.21161216
2.165	1.097	0.223	1.2	0.1		9.918294284
2.172	2.688	0.058	4.4	-0.3		58.01981574
2.198	1.434	0.036	1.082	0.1		9.173844281
2.268	1.281	0.035	2.077	-0.2		26.47612203
2.286	1.189	0.133	2	-0.2		25.87797634
2.331	1.09	0.095	1.19	-0.1		14.16098135
2.338	1.779	0.104	2.1	-0.3		31.97328857
2.345	1.023	0.101	1.35	-0.2		18.32334903
2.384	1.925	0.138	1.3	-0.2		18.19626197
2.427	1.73	0.074	1.19	0		13.46108836
2.448	1.676	0.045	0.525	-0.3		8.737632366
2.5584	1.598	0.323	0.6	-0.2		9.575739327
2.559	1.307	0.164	2.3	0.1		25.09228302
2.685	1.506	0.101	0.417	-0.1		6.384964389
2.707	1.236	0.123	0.81	-0.1		12.58241752
2.73	1.252	0.132	0.52	0		7.187465596
2.863	2.372	0.039	6.5	0		97.30755827
3.268	1.877	0.131	0.9	0.1		14.49700338
3.366	1.75	0.26	1	-0.2		26.23835809
3.396	1.77	0.17	1.2	-0.1		27.58430442
3.469	1.404	0.121	1.8	0		36.92953949
3.707	0.744	0.108	0.84	-0.1		22.38179473
