"z" "snh" "snl" "onl" "onh" "dnl" "dnh" "knl" "knh"
"64" 0.825 69.91721 87.43176 1006.16622 572.1108 72.09498 42.166178 1.5696834 1.0209818
"65" 0.805 69.07078 82.16126 985.77014 550.54198 67.31629 39.484082 1.7015875 1.1444493
"66" 0.784 66.41869 82.3617 973.60261 528.0646 71.22638 40.749915 1.6525848 1.0764956
"67" 0.765 69.67884 77.99894 949.37059 521.64876 64.79354 36.527712 1.5718125 1.11849959
"68" 0.746 66.30922 74.69629 947.76628 508.02631 66.00884 38.704217 1.9393686 1.1542474
"69" 0.727 65.56354 74.54738 918.02415 494.66727 62.66911 36.255964 1.635002 1.0892523
"70" 0.709 65.72531 71.85004 895.57411 477.67435 61.71699 37.319514 1.953215 1.4401517
"71" 0.691 64.47528 68.94849 883.99777 463.24111 57.38123 32.626742 1.866476 0.9649622
"72" 0.673 64.19624 65.30742 858.8704 451.92425 58.40906 33.580247 1.8988792 1.19461057
"73" 0.656 63.06851 68.07623 849.67833 442.0822 56.47056 34.370654 1.5845074 0.7353319
"74" 0.639 60.27879 65.15926 824.44723 427.42133 54.42721 32.120476 2.050058 0.70399978
"75" 0.623 59.69526 64.46383 812.08552 418.15943 53.48866 32.492535 1.4460773 1.0001045
"76" 0.606 60.96363 59.87126 792.21077 405.86225 52.22684 33.623138 1.6371165 1.02538465
"77" 0.591 57.76876 62.2538957 775.23799 397.09652 52.59258 31.772144 1.7813564 1.1691485
"78" 0.575 58.3699 60.6390609 759.59551 385.74391 51.2600879 32.696713 1.6497063 1.0342221
"79" 0.56 58.9114 57.80931 726.52985 380.51028 50.3052629 32.066422 1.748835 1.11391149
"80" 0.545 58.76867 60.55568 710.08979 361.61328 51.5391333 31.386574 1.6339977 0.8546871
"81" 0.53 53.39529 58.08777 677.30495 360.63527 50.696004 32.0407 1.504797 0.9276366
"82" 0.516 54.096647 57.49458 663.1402 348.598086 48.027358 31.562739 1.5621221 0.78790582
"83" 0.501 53.426091 59.63908 649.10401 341.599762 48.330443 27.51632 1.2768651 0.79718023
"84" 0.487 51.182342 57.33144 630.52289 328.845298 48.206591 26.565601 1.3639512 0.85954363
"85" 0.474 52.490227 58.24097 599.11381 321.620979 43.302098 25.80985 1.1569866 0.71765192
"86" 0.46 49.461657 57.58824 596.56769 315.58842 44.334154 25.098726 0.9195918 0.79858385
"87" 0.447 50.347744 55.922344 576.35616 305.853035 43.371002 25.126935 1.2216905 1.06616132
"88" 0.434 48.84614 54.75308 561.13579 300.79499 41.17483 25.231164 1.1132533 1.23400582
"89" 0.421 50.02163 54.58846 548.81886 288.95941 43.290749 24.870717 1.3449742 1.01883873
"90" 0.408 48.78877 52.04881 528.37457 295.588742 41.261959 24.405311 1.5107468 0.95598581
"91" 0.396 48.147365 55.80256 514.06036 279.944759 39.925357 23.546164 1.6360481 1.1467924
"92" 0.384 47.953862 51.49676 503.46027 274.8421607 40.617202 23.913968 1.9305269 0.82824873
"93" 0.372 48.74033 54.00484 489.65343 271.255466 41.693804 22.33477 1.6109031 0.88521388
"94" 0.36 46.636998 53.92233 486.30003 262.058364 41.095659 21.979236 1.1591151 0.65152397
"95" 0.348 49.882206 53.18837 471.03117 250.65996 40.9317 22.519388 1.15507888 0.77553932
"96" 0.337 45.893049 52.19532 453.14745 251.499797 39.39024 23.299903 1.0338809 1.13066753
"97" 0.326 46.10848 53.05817 451.18214 240.847823 39.387248 22.566047 1.45486 0.67735311
"98" 0.314 45.83062 49.97571 438.38473 228.487 37.922903 22.6796771 1.2184283 0.89361303
"99" 0.303 44.84721 52.52822 420.79195 225.43549 39.826538 23.1877725 1.1561372 0.72732758
"100" 0.293 43.0596 49.59631 416.74139 217.676949 39.393019 21.7265881 0.9505035 0.69792634
"101" 0.282 42.074994 48.79288 404.50349 214.706102 39.155023 22.8152774 1.2053427 0.68550125
"102" 0.271 40.003653 51.15799 389.9339 204.83452 38.351119 21.2430572 1.1113806 1.13510544
"103" 0.261 41.32383 48.56606 397.37243 201.21462 37.500934 20.2942942 1.26437079 0.62456221
"104" 0.251 37.51925 48.44383 376.79879 191.491373 37.206304 19.5944749 1.1706826 0.7922814
"105" 0.241 37.61645 47.03995 365.16993 189.68785 36.935853 18.5239209 1.0887192 0.58213326
"106" 0.231 36.1130454 45.54545 364.07687 179.46461 36.776302 18.8430455 1.20214957 0.30691785
"107" 0.221 35.0302298 45.93164 351.3807 183.67363 34.522288 18.7675077 0.7612218 0.48605848
"108" 0.211 36.420854 44.06009 345.07078 174.85253 32.80142 18.614705 0.54733608 0.57756157
"109" 0.202 35.7162016 44.47442 335.70678 174.001011 34.469978 17.5428066 0.4828838 0.52651815
"110" 0.192 36.762521 44.89791 331.86816 166.641944 31.545575 19.6723405 0.7980717 0.7584747
"111" 0.183 35.265071 41.75927 325.14697 165.04954 35.34394 17.8298242 0.7645524 0.71693423
"112" 0.174 34.955501 47.18824 318.77928 161.434175 33.891112 18.8327688 0.66777884 0.45029482
"113" 0.165 35.510017 44.31251 314.56031 156.200171 32.963971 19.3049733 0.89528713 0.3272947684
"114" 0.156 31.914179 43.33183 310.01834 154.144744 32.15495 20.7393629 0.93883058 0.419714304
"115" 0.147 35.158132 44.05885 300.47731 150.955569 34.456066 17.8864206 0.536695 0.344486854
"116" 0.138 33.46177 43.83843 300.7052 146.6524 32.708909 17.269251 0.65436232 0.31918085
"117" 0.129 31.886901 41.80425 288.61513 148.51743 34.05566 16.7616469 0.57963856 0.47613771
"118" 0.121 32.963798 41.61299 286.57267 144.609011 31.009903 16.546789 0.7510736 0.44160178
"119" 0.112 29.788702 41.51357 278.22967 144.384843 30.51042 17.0580001 0.784869 0.35338848
"120" 0.104 32.455331 41.57291 278.92062 140.76575 30.44118 16.7676123 0.617955319 0.23909736
"121" 0.096 31.021816 41.90239 272.41199 137.069674 31.37212 16.5311714 0.32828963 0.18970551
"122" 0.088 32.11426 38.57532 268.36856 135.350298 28.38332 16.2002878 0.53154199 0.48404827
"123" 0.08 30.546432 40.99936508 258.290857 133.950495 29.27110051 16.0910787 0.38386947 0.30540189
"124" 0.072 28.964007 38.7366264 258.57045 125.894787 27.57926051 15.1631963 0.50506958 0.39695168
"125" 0.064 28.700453 39.35196 250.16168 127.654189 28.1757675 14.7439057 0.53946329 0.41160685
"126" 0.056 29.419068 35.8222543 244.65663 125.789847 25.9587826 13.4454334 0.54751769 0.29795902
"127" 0.048 29.78892 37.7110596 244.72345 126.586634 27.5538932 13.6172263 0.69477422 0.288032965
"128" 0.041 30.031038 35.968011 234.44353 120.82498 25.1969511 14.7159202 0.30064255 0.166189891
"129" 0.033 29.37988 36.706873 234.85837 120.229646 24.0896703 14.2539767 0.61970419 0.30053413
"130" 0.026 28.104873 37.838828 225.66175 118.898557 24.0311949 15.6505289 0.3348052 0.40380159
"131" 0.018 29.095531 36.865028 228.39314 114.994163 23.7148948 14.926397 0.38161234 0.438706397
"132" 0.011 26.785086 35.553644 221.27014 114.729073 25.7225345 15.1684593 0.49968132 0.35562951
"133" 0.004 28.161848 35.983105 220.77322 108.776969 24.2174727 13.9688036 0.49401858 0.49138436
